repo_name,url,pulls_count_open,pulls_count_closed,issues_count_open,issues_count_closed,commits_count,branches_count,releases_count,owner_type,watchers_count,forks_count,stargazers_count,development_time,owner_account_age,avg_dev_account_age,has_test,has_doc,has_example,has_readme,owner_projects_count,owner_following,owner_followers,devs_followers_avg,devs_following_avg,commits_by_dev_with_most_commits,magnetism,stickiness,wealth,last_commit_age,productive_duration
bitsofinfo/hazelcast-consul-discovery-spi,https://github.com/bitsofinfo/hazelcast-consul-discovery-spi,1,1,2,3,8,2,1,1,48,17,48,1907,3237,2409.0,True,True,False,True,97,16,56,22.666666666666668,10.0,102,0.2,1.0,1.0,46,1907
mdcallag/linkbench,https://github.com/mdcallag/linkbench,0,7,0,7,63,6,0,1,27,14,27,3149,3269,3041.5882352941176,True,True,False,True,19,0,127,29.705882352941178,3.588235294117647,77,0.26666666666666666,0.5,7.0,51,3149
libyal/libpff,https://github.com/libyal/libpff,1,2,8,15,37,2,0,0,180,53,180,2365,2392,2576.0,True,False,False,True,96,0,0,141.33333333333334,0.0,158,0.0,0,2.0,1,2545
feross/render-media,https://github.com/feross/render-media,0,16,0,22,50,4,0,1,181,28,181,1733,4225,2734.0,True,False,False,True,142,268,11290,1057.5,79.83333333333333,118,0.2727272727272727,1.0,12.655357142857142,121,1733
libyal/libpff,https://github.com/libyal/libpff,1,2,8,15,37,2,0,0,180,53,180,2365,2392,2576.0,True,False,False,True,96,0,0,141.33333333333334,0.0,158,0.0,0,2.0,1,2545
coq/coq,https://github.com/coq/coq,120,2374,952,3162,6248,15,14,0,3210,494,3210,7893,3691,2989.510752688172,False,True,False,True,18,0,0,70.64516129032258,19.973118279569892,5417,0.2345679012345679,1.0,2107.1750555099525,1,8087
jxmai/primefaces,https://github.com/jxmai/primefaces,1,0,1,0,5,5,0,1,0,0,0,3537,2268,2648.4155844155844,True,True,False,True,20,0,2,28.006493506493506,6.071428571428571,4296,0.15384615384615385,0.5,0.0,43,3740
logstash-plugins/logstash-filter-drop,https://github.com/logstash-plugins/logstash-filter-drop,1,349,26,392,798,4,0,0,5,13,5,2175,2370,3948.6923076923076,True,True,False,True,265,0,0,269.7692307692308,18.23076923076923,38,0.36363636363636365,0.5,343.65,82,2175
mozilla-services/autograph,https://github.com/mozilla-services/autograph,0,1,0,1,3,11,0,0,118,30,118,1887,3475,3268.0,True,True,False,True,388,0,0,204.0,16.416666666666668,818,0.0,0,1.0,1,2082
erlangpack/mimetypes,https://github.com/erlangpack/mimetypes,0,1,0,2,16,1,0,0,77,36,77,3164,1371,3798.4545454545455,True,False,False,True,5,0,0,151.0,64.81818181818181,34,0.375,0.3333333333333333,1.0,89,3164
mskilab/gTrack,https://github.com/mskilab/gTrack,0,10,0,22,28,15,0,1,12,6,12,1898,2135,2507.1666666666665,True,True,False,True,25,0,52,41.0,29.166666666666668,466,1.0,1.5,10.0,177,2123
Doom-Utils/iwad-patches,https://github.com/Doom-Utils/iwad-patches,0,0,0,0,31,1,0,0,33,6,33,1725,2044,2580.5,False,False,False,True,11,0,0,15.0,13.5,43,0.0,0,0.0,43,1613
christianwach/commentpress-core,https://github.com/christianwach/commentpress-core,1,18,9,79,97,3,0,1,0,0,0,3011,3635,3783.25,False,False,False,True,132,31,48,120.0,19.5,984,0.25,0.7142857142857143,15.61111111111111,16,3245
perseids-project/llt,https://github.com/perseids-project/llt,3,14,123,47,61,8,3,0,0,0,0,2302,2122,3597.5,True,False,False,True,105,0,0,27.5,9.0,57,0.17142857142857143,0.5,11.80952380952381,313,2302
Appdynamics/aws-lambda-monitoring-extension,https://github.com/Appdynamics/aws-lambda-monitoring-extension,8,388,64,703,442,7,44,0,2,1,2,1661,3229,1906.3333333333333,True,False,False,True,524,0,0,1.5,1.1666666666666667,13,0.12195121951219512,0.6,381.2833333333333,330,1321
liebke/zookeeper-clj,https://github.com/liebke/zookeeper-clj,0,83,14,102,205,1,8,1,163,22,163,3212,4398,3377.4285714285716,True,False,True,True,12,3,216,69.71428571428571,10.714285714285714,111,0.25,1.0,82.16666666666667,238,3212
naver/arcus-c-client,https://github.com/naver/arcus-c-client,0,3,1,3,262,9,0,0,10,12,10,2273,2607,2487.3636363636365,True,True,True,True,180,0,0,7.818181818181818,10.181818181818182,268,0.5,0.5,2.3333333333333335,68,2702
admb-project/admb-project.github.io,https://github.com/admb-project/admb-project.github.io,1,9,9,21,116,1,2,0,1,3,1,1675,2772,2406.8,False,True,True,True,14,0,0,16.8,1.8,669,0.0,0,7.833333333333333,7,1675
3dcitydb/3dcitydb,https://github.com/3dcitydb/3dcitydb,2,1,2,3,4,22,0,0,211,51,211,2643,2688,2593.5714285714284,False,False,False,True,20,0,0,20.142857142857142,0.5714285714285714,384,0.14285714285714285,2.0,1.0,11,2850
3lvis/DATAStack,https://github.com/3lvis/DATAStack,0,0,0,0,168,7,0,1,214,39,214,2390,3603,3224.4166666666665,False,False,False,True,51,0,741,282.5833333333333,21.083333333333332,415,0.1111111111111111,1.0,0.0,308,2390
cmsgears/module-core,https://github.com/cmsgears/module-core,0,0,0,0,47,2,0,0,4,0,4,2201,2354,2431.3333333333335,False,True,False,True,71,0,0,1.0,5.333333333333333,349,0.1111111111111111,0.0,0.0,141,2201
KDE/symboleditor,https://github.com/KDE/symboleditor,0,0,0,0,46,5,0,0,2,0,2,2654,2155,2864.125,False,True,False,False,1031,0,0,13.625,0.25,109,0.03333333333333333,3.0,0.0,77,2756
Kunstmaan/KunstmaanDashboardBundle,https://github.com/Kunstmaan/KunstmaanDashboardBundle,1,4,1,5,11,23,0,0,4,3,4,2655,3952,3362.521739130435,False,False,False,True,125,0,0,32.130434782608695,13.043478260869565,232,0.75,1.0,4.0,16,2723
guusdk/Spark,https://github.com/guusdk/Spark,0,0,0,0,23,95,0,1,0,0,0,5288,3029,2830.4814814814813,True,False,False,True,140,0,57,58.129629629629626,180.94444444444446,1187,0.1875,1.0,0.0,213,5288
phatworx/devise_security_extension,https://github.com/phatworx/devise_security_extension,0,129,0,129,568,4,0,0,731,331,731,3564,3831,4130.0,True,False,False,True,16,0,0,45.0,22.761904761904763,119,0.037484885126964934,1.2903225806451613,130.0,267,3564
tkurze/devstack,https://github.com/tkurze/devstack,2,435,2,491,1361,4,21,1,0,0,0,3619,3415,3453.3953488372094,True,True,False,True,43,4,0,63.730897009966775,9.438538205980066,3680,0.5,0.45454545454545453,418.2027528027527,1,3676
pmineiro/vowpal_wabbit,https://github.com/pmineiro/vowpal_wabbit,2,70,22,101,1026,3,0,1,1,0,1,3940,3492,3209.0282485875705,True,True,True,True,23,0,44,68.61581920903954,20.62146892655367,1870,0.44,0.5454545454545454,68.7,453,3940
