repo_name,url,pulls_count_open,pulls_count_closed,issues_count_open,issues_count_closed,commits_count,branches_count,releases_count,owner_type,watchers_count,forks_count,stargazers_count,development_time,owner_account_age,avg_dev_account_age,has_test,has_doc,has_example,has_readme,owner_projects_count,owner_following,owner_followers,devs_followers_avg,devs_following_avg,commits_by_dev_with_most_commits,magnetism,stickiness,wealth,last_commit_age,productive_duration
sugarcrm/SugarFieldWorkLog,https://github.com/sugarcrm/SugarFieldWorkLog,1,16,2,16,36,1,7,0,7,6,7,3604,4571,3774.0,False,False,False,True,67,0,0,7.666666666666667,1.3333333333333333,33,0.25,1.0,16.0,267,3604
domoritz/leaflet-locatecontrol,https://github.com/domoritz/leaflet-locatecontrol,3,37,8,59,73,5,5,1,571,231,571,3024,3876,3497.9545454545455,False,False,False,True,330,43,811,133.02272727272728,19.045454545454547,322,0.6111111111111112,0.7272727272727273,31.958333333333332,76,3024
w0lfschild/mySIMBL,https://github.com/w0lfschild/mySIMBL,0,0,0,0,44,2,0,1,925,58,925,1858,3354,3572.1666666666665,False,False,False,True,62,38,512,111.83333333333333,16.166666666666668,34,0.0625,1.0,0.0,162,1858
TourCMS/tourcms-php,https://github.com/TourCMS/tourcms-php,0,0,0,0,132,26,0,0,8,5,8,3568,3703,2566.3333333333335,False,False,True,True,13,0,0,0.6666666666666666,0.0,121,0.0,0,0.0,50,3568
af/envalid,https://github.com/af/envalid,0,10,2,15,43,2,5,1,754,48,754,3185,4738,3223.5185185185187,True,False,True,True,103,27,63,80.0,25.11111111111111,191,0.4,0.5,8.41025641025641,24,3185
FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,2,39,2,39,48,9,0,0,9822,2436,9822,3618,3287,2719.240121580547,True,False,True,True,28,0,0,24.21884498480243,13.674772036474165,6206,0.8,0.5,38.0,0,3650
Sylius/Payment,https://github.com/Sylius/Payment,0,1,0,1,7,12,0,0,15,8,15,2455,3805,3271.9666666666667,True,False,False,True,117,0,0,126.8,43.86666666666667,83,0.0,0,1.0,9,2460
nicmart/Tree,https://github.com/nicmart/Tree,0,2,1,7,115,7,0,1,489,63,489,2776,3979,2867.7,True,False,False,True,59,115,84,70.6,31.7,81,0.5,1.0,0.1575757575757576,286,2776
metarhia/do,https://github.com/metarhia/do,0,10,0,10,38,9,0,0,26,4,26,3031,1994,2072.5,True,False,False,True,58,0,0,516.6666666666666,41.166666666666664,43,0.3333333333333333,4.0,9.5,104,3031
Hrnchamd/MGE-XE,https://github.com/Hrnchamd/MGE-XE,0,1,0,1,25,3,0,1,43,16,43,3019,3576,3337.2,False,False,False,False,5,0,15,8.2,0.4,382,0.5,1.0,1.0,17,3019
PhilipRieck/WpfAppBar,https://github.com/PhilipRieck/WpfAppBar,0,4,0,4,10,1,0,1,110,45,110,1832,4114,2907.0,False,False,False,True,6,3,11,6.75,6.625,31,0.6666666666666666,1.0,3.552631578947368,232,1832
TaxFoundation/international-tax-competitiveness-index,https://github.com/TaxFoundation/international-tax-competitiveness-index,0,3,0,8,62,71,0,0,5,7,5,483,2870,1866.5,False,False,False,True,67,0,0,7.25,6.25,439,0.1111111111111111,2.0,3.0,328,483
pcherenkov/udpxy,https://github.com/pcherenkov/udpxy,2,44,8,55,45,14,0,1,118,72,118,3345,3552,3445.714285714286,True,True,False,True,4,2,5,17.428571428571427,5.142857142857143,96,0.5714285714285714,0.25,39.5,281,3345
potigol/potigol.github.io,https://github.com/potigol/potigol.github.io,0,107,1,107,87,1,3,0,70,10,70,2881,3494,2924.0,False,False,False,True,26,0,0,564.0,109.66666666666667,133,0.057692307692307696,1.6666666666666667,106.1,170,2881
dmpop/mejiro,https://github.com/dmpop/mejiro,3,7,3,7,12,2,0,1,109,14,109,2734,3745,3708.0,False,False,False,True,41,7,52,82.42857142857143,22.285714285714285,362,0.08620689655172414,0.8,7.0,24,2784
mulesoft/mule-module-cors,https://github.com/mulesoft/mule-module-cors,1,39,2,39,80,4,0,0,1,5,1,2188,4250,3214.6363636363635,True,True,False,True,186,0,0,5.636363636363637,4.090909090909091,14,0.35,0.7142857142857143,37.34090909090909,282,2188
yast/yast-nis-server,https://github.com/yast/yast-nis-server,4,64,21,229,469,34,30,0,1,6,1,7332,3712,3653.1428571428573,True,True,False,True,237,0,0,32.666666666666664,5.904761904761905,189,0.1276595744680851,0.4444444444444444,58.76501831501832,48,7402
schneidmaster/gitreports.com,https://github.com/schneidmaster/gitreports.com,0,8,0,11,14,1,3,1,119,24,119,2837,3361,2299.1,True,False,False,True,109,1,114,37.7,13.9,234,0.5714285714285714,0.25,7.111111111111111,1,2837
sonata-project/SonataCacheBundle,https://github.com/sonata-project/SonataCacheBundle,2,39,14,124,249,3,9,0,66,72,66,3494,4010,3635.6428571428573,True,True,False,True,55,0,0,107.9047619047619,50.19047619047619,153,0.04477611940298507,1.3333333333333333,38.111111111111114,1,3503
freewil/bitcoin-testnet-box,https://github.com/freewil/bitcoin-testnet-box,0,18,9,21,53,1,0,1,450,218,450,3209,3807,3565.5,False,False,False,True,127,50,94,35.125,40.5,30,0.06896551724137931,1.5,15.540909090909091,209,3209
webdetails/cpf,https://github.com/webdetails/cpf,0,1,0,7,113,69,0,0,6,57,6,3264,3598,2959.3888888888887,True,False,False,True,56,0,0,8.194444444444445,1.6388888888888888,191,0.3333333333333333,1.0,1.0,105,3396
Froxlor/Froxlor,https://github.com/Froxlor/Froxlor,0,7,1,7,5,4,0,0,1337,410,1337,4244,3473,3290.7843137254904,True,True,True,True,6,0,0,20.872549019607842,10.068627450980392,2018,0.047619047619047616,1.0,3.2737927706967955,5,4276
jghoman/haivvreo,https://github.com/jghoman/haivvreo,0,0,0,0,10,10,0,1,60,27,60,3496,4469,4366.25,True,False,False,True,143,37,110,254.5,10.0,61,0.2,2.0,0.0,202,3496
stevengj/Sobol.jl,https://github.com/stevengj/Sobol.jl,0,275,0,276,494,1,2,1,59,17,59,1676,3206,2866.090909090909,True,False,False,True,96,0,892,142.27272727272728,8.0,43,0.14285714285714285,4.0,275.0,153,1676
crosire/scripthookvdotnet,https://github.com/crosire/scripthookvdotnet,0,10,0,22,28,3,0,1,750,296,750,2325,3329,2765.9591836734694,False,False,True,True,12,1,395,36.04081632653061,6.040816326530612,696,1.0,1.5,10.0,0,2354
ghcjs/jsaddle,https://github.com/ghcjs/jsaddle,0,10,4,18,41,12,0,0,107,48,107,3038,3409,3522.3571428571427,True,False,False,True,36,0,0,122.5,41.464285714285715,294,0.29411764705882354,0.6,10.0,75,3038
aliftype/mada,https://github.com/aliftype/mada,8,6,36,16,17,1,0,0,44,5,44,3654,1737,3488.0,False,False,False,True,19,0,0,256.5,30.5,656,0.05714285714285714,1.0,3.601190476190476,37,3654
pruttned/owl-bt,https://github.com/pruttned/owl-bt,2,15,2,15,30,12,0,1,124,17,124,1800,2938,2687.0,False,False,False,True,18,0,9,32.0,2.2,437,0.07142857142857142,1.25,14.0,339,1800
IgniteUI/igniteui-angularjs,https://github.com/IgniteUI/igniteui-angularjs,0,3,1,3,262,12,0,0,109,34,109,2557,2928,2808.4615384615386,True,False,False,True,81,0,0,31.615384615384617,8.076923076923077,49,0.5,0.5,2.3333333333333335,133,2557
clojure/data.int-map,https://github.com/clojure/data.int-map,0,18,18,20,75,2,0,0,99,9,99,2153,4089,4536.333333333333,True,False,False,True,90,0,0,921.3333333333334,17.666666666666668,45,0.2608695652173913,0.5,16.23611111111111,147,2153
Doom-Utils/iwad-patches,https://github.com/Doom-Utils/iwad-patches,2,16,3,16,16,1,0,0,37,6,37,1613,2211,2746.75,False,False,False,True,11,0,0,24.5,14.5,45,0.17073170731707318,0.42857142857142855,16.0,135,1613
travis-ci/travis-rubies,https://github.com/travis-ci/travis-rubies,0,3,2,3,8,24,1,0,40,26,40,2836,3847,3064.529411764706,False,False,False,True,259,0,0,241.47058823529412,70.47058823529412,17618,0.25,1.0,3.0,56,2836
Kozea/pygal,https://github.com/Kozea/pygal,0,13,13,16,17,6,0,0,2386,393,2386,4937,3731,3380.5087719298244,True,True,False,True,102,0,0,102.01754385964912,18.63157894736842,598,0.25925925925925924,0.8571428571428571,2.5117393717393717,22,4937
pentaho/metastore,https://github.com/pentaho/metastore,1,0,2,0,2,59,0,0,17,74,17,2982,3659,3031.6,True,True,False,True,95,0,0,8.4,1.28,55,0.0,0,0.0,105,2982
FdezRomero/request-image-size,https://github.com/FdezRomero/request-image-size,0,15,2,20,56,3,0,1,32,12,32,2397,3386,2811.25,False,False,False,True,25,6,22,11.875,7.125,20,0.14666666666666667,0.5454545454545454,14.5,122,2397
pilwon/node-ib,https://github.com/pilwon/node-ib,5,36,19,50,82,3,8,1,364,130,364,2713,4567,3115.137931034483,False,False,True,True,57,3,300,81.06896551724138,7.758620689655173,172,0.18461538461538463,0.6666666666666666,32.31111111111111,155,2713
kbjr/node-cards,https://github.com/kbjr/node-cards,0,647,0,665,1190,4,9,1,83,31,83,839,4236,3365.6666666666665,False,True,False,True,45,6,78,76.33333333333333,21.5,44,0.25925925925925924,0.5714285714285714,642.5,257,839
acron0/AsanaNet,https://github.com/acron0/AsanaNet,0,3,3,14,27,1,0,1,33,31,33,3042,3759,2658.3333333333335,False,False,False,True,76,33,46,58.666666666666664,9.833333333333334,30,0.125,1.0,3.0,297,3042
php/web-pres2,https://github.com/php/web-pres2,0,9,0,12,99,2,20,0,17,10,17,6847,4739,4341.333333333333,False,False,False,True,130,0,0,1118.5,14.833333333333334,223,0.5,1.0,8.071428571428571,163,6847
Pylons/webtest,https://github.com/Pylons/webtest,5,8,5,8,12,7,0,0,302,101,302,5075,3972,3910.6060606060605,True,True,False,True,103,0,0,167.5909090909091,25.363636363636363,514,0.07692307692307693,1.0,4.642857142857142,14,5075
doctrine/DoctrineFixturesBundle,https://github.com/doctrine/DoctrineFixturesBundle,0,61,3,62,978,9,1,0,2108,198,2108,3393,4216,3698.5285714285715,False,True,False,True,75,0,0,413.6714285714286,61.32857142857143,49,0.058823529411764705,2.0,61.0,171,3393
srod/node-minify,https://github.com/srod/node-minify,3,8,11,15,19,5,2,1,422,50,422,3536,3969,2807.5,True,True,True,True,35,26,14,457.2083333333333,32.208333333333336,1475,0.6666666666666666,0.5,5.51111111111111,7,3536
kovisoft/paredit,https://github.com/kovisoft/paredit,0,0,0,0,26,1,0,1,66,17,66,3096,3070,3703.5,False,True,False,True,5,0,20,405.0,15.8125,90,0.16666666666666666,1.0,0.0,157,3096
s32x/anirip,https://github.com/s32x/anirip,1,26,1,26,77,1,0,1,138,32,138,1822,2689,2706.6666666666665,False,False,False,True,10,16,137,212.0,5.333333333333333,96,0.26666666666666666,0.25,25.25,304,1822
thenickdude/webm-writer-js,https://github.com/thenickdude/webm-writer-js,0,6,1,7,15,4,3,1,162,24,162,1625,3354,2928.75,True,False,False,True,73,3,125,51.25,17.75,28,0.3333333333333333,2.0,6.0,121,1767
munkireport/power,https://github.com/munkireport/power,10,15,13,21,8,1,0,0,1,4,1,438,2892,2718.6,False,False,False,True,71,0,0,37.8,4.4,16,0.08571428571428572,0.6666666666666666,10.116468253968254,110,560
ircam-ismm/sync,https://github.com/ircam-ismm/sync,0,8,29,30,295,2,0,0,17,2,17,2334,598,3383.6666666666665,False,False,True,True,21,0,0,20.333333333333332,5.0,65,1.3333333333333333,0.25,8.0,51,2334
idclark/wrap-it-up,https://github.com/idclark/wrap-it-up,0,18,6,23,61,1,2,1,3,3,3,0,3925,2541.3333333333335,True,False,False,True,21,7,3,1.6666666666666667,2.6666666666666665,24,0.19298245614035087,0.5454545454545454,14.975,260,0
frappe/frappe_theme,https://github.com/frappe/frappe_theme,0,0,0,0,189,16,0,0,20,48,20,2487,3746,2589.0625,False,False,False,True,106,0,0,98.5625,20.0,146,0.19047619047619047,1.0,0.0,109,2487
theseal/ssh-askpass,https://github.com/theseal/ssh-askpass,1,24,6,34,94,1,0,1,121,24,121,2497,3755,4127.142857142857,False,False,False,True,25,10,13,35.0,26.285714285714285,36,0.15,1.3333333333333333,20.446428571428573,14,2497
GNOME/seed,https://github.com/GNOME/seed,0,8,1,8,16,3,0,0,12,8,12,4369,3387,3877.2105263157896,True,True,True,True,381,0,0,46.68421052631579,4.2368421052631575,962,0.16666666666666666,1.0,5.241666666666666,335,4369
zh-google-styleguide/zh-google-styleguide,https://github.com/zh-google-styleguide/zh-google-styleguide,4,431,50,612,453,2,0,0,7988,2426,7988,3334,3339,2651.672727272727,False,False,False,True,1,0,0,47.61818181818182,51.63636363636363,68,0.7692307692307693,0.65,426.49999999999994,7,3363
KDE/libkgapi,https://github.com/KDE/libkgapi,0,89,1,93,147,32,3,0,5,2,5,3752,2185,3383.4523809523807,False,True,True,True,1044,0,0,16.976190476190474,3.357142857142857,475,0.19,0.47368421052631576,88.0,3,3776
recursion-schemes/recursion-schemes,https://github.com/recursion-schemes/recursion-schemes,0,3,2,5,17,2,0,0,279,45,279,3716,200,3853.5714285714284,False,True,True,True,1,0,0,342.6190476190476,54.904761904761905,81,0.07142857142857142,2.0,2.111111111111111,158,3716
OSGConnect/tutorial-pegasus,https://github.com/OSGConnect/tutorial-pegasus,0,23,3,24,54,2,0,0,1,3,1,2079,2636,2853.5,False,False,False,True,54,0,0,6.375,4.375,13,0.125,3.0,21.75,188,2079
mantoni/mocaccino.js,https://github.com/mantoni/mocaccino.js,0,8,1,8,16,2,0,1,22,11,22,2676,4074,3764.8333333333335,True,False,False,True,94,8,143,247.5,150.75,149,0.16666666666666666,1.0,5.241666666666666,109,2676
glinscott/fishtest,https://github.com/glinscott/fishtest,4,431,50,612,453,6,0,1,165,93,165,3128,3895,2616.4857142857145,True,False,False,True,20,2,130,22.428571428571427,2.6,728,0.7692307692307693,0.65,426.49999999999994,2,3158
lxqt/lxqt-notificationd,https://github.com/lxqt/lxqt-notificationd,0,89,1,93,147,6,3,0,45,36,45,3372,1424,2695.306818181818,True,False,False,True,44,0,0,48.30681818181818,9.011363636363637,46,0.19,0.47368421052631576,88.0,3,3401
hynek/doc2dash,https://github.com/hynek/doc2dash,0,3,2,5,17,3,0,1,387,33,387,3231,4648,3974.0666666666666,True,True,False,True,15,6,820,830.3333333333334,32.6,268,0.07142857142857142,2.0,2.111111111111111,140,3231
c-rack/cbor-java,https://github.com/c-rack/cbor-java,0,23,3,24,54,3,0,1,77,18,77,2686,4283,3059.375,True,False,True,True,90,48,140,27.5,7.125,213,0.125,3.0,21.75,108,2804
TYPO3/Fluid,https://github.com/TYPO3/Fluid,10,47,25,67,41,14,0,0,137,75,137,4605,4489,3476.6323529411766,True,True,True,True,24,0,0,36.705882352941174,12.117647058823529,342,0.14285714285714285,0.6363636363636364,42.541666666666664,102,4605
JohnMaguire/Cardinal,https://github.com/JohnMaguire/Cardinal,1,9,8,41,240,6,7,1,87,36,87,3095,3983,2680.153846153846,False,False,False,True,27,127,91,27.692307692307693,15.153846153846153,583,0.35714285714285715,1.0,8.5,40,3144
jupyterhub/configurable-http-proxy,https://github.com/jupyterhub/configurable-http-proxy,2,113,4,132,290,12,0,0,171,115,171,2557,2001,3088.264705882353,True,True,False,True,62,0,0,169.73529411764707,44.85294117647059,315,0.3793103448275862,0.5454545454545454,103.49999999999999,18,2648
jsoverson/preprocess,https://github.com/jsoverson/preprocess,0,2,1,3,15,1,1,1,315,80,315,2975,3744,3525.9166666666665,True,False,False,True,146,110,424,103.625,24.625,83,0.06666666666666667,1.5,2.0,156,2975
monich/harbour-swissclock,https://github.com/monich/harbour-swissclock,0,1,0,1,11,1,1,1,1,3,1,2464,2859,2452.6666666666665,False,False,False,True,90,0,34,13.0,0.0,75,0.3333333333333333,2.0,1.0,45,2464
espadrine/sc,https://github.com/espadrine/sc,2,0,2,0,6,21,0,1,13,12,13,3795,4453,3310.125,True,True,False,True,153,36,195,113.875,39.0,293,0.18181818181818182,0.5,0.0,171,3795
pantsbuild/pants,https://github.com/pantsbuild/pants,25,3771,338,4428,3157,46,147,0,1653,418,1653,3411,3188,3415.6019900497513,True,False,False,True,48,0,0,71.23383084577114,15.955223880597014,1576,0.13733905579399142,0.78125,3651.6175324675332,0,3465
Pottus/Texture-Studio,https://github.com/Pottus/Texture-Studio,0,4,12,12,27,2,0,1,50,49,50,2430,3072,1934.888888888889,True,False,False,True,3,0,28,14.666666666666666,6.555555555555555,108,0.42857142857142855,0.6666666666666666,3.5,146,2430
4teamwork/ftw.publisher.core,https://github.com/4teamwork/ftw.publisher.core,0,19,0,19,72,6,0,0,4,0,4,4090,3825,3088.153846153846,True,True,False,True,268,0,0,14.692307692307692,13.923076923076923,216,0.35714285714285715,0.2,19.0,162,4090
cesanta/docker_auth,https://github.com/cesanta/docker_auth,1,34,4,53,49,1,4,0,1030,260,1030,2282,2964,3388.5849056603774,True,True,True,True,59,0,0,87.18867924528301,35.0188679245283,85,0.4,0.3888888888888889,29.152777777777775,9,2314
eea/eea.rancher.catalog,https://github.com/eea/eea.rancher.catalog,0,4,0,4,4296,3,0,0,11,7,11,1962,3595,3041.3846153846152,False,False,False,True,688,0,0,22.692307692307693,54.92307692307692,3079,0.52,1.2307692307692308,4.0,0,1990
rickysarraf/apt-offline,https://github.com/rickysarraf/apt-offline,1,24,6,49,117,6,1,1,118,31,118,5649,4556,3754.5833333333335,True,False,False,True,37,10,31,45.333333333333336,10.666666666666666,1087,0.17647058823529413,1.0,22.833333333333332,47,5649
bdcht/amoco,https://github.com/bdcht/amoco,0,3,0,10,46,1,0,1,420,64,420,2543,3782,3140.875,True,True,False,True,8,35,87,101.875,60.875,288,0.1111111111111111,2.0,2.25,99,2543
PurdueIEEE/boilerbooks,https://github.com/PurdueIEEE/boilerbooks,1,22,4,36,34,7,0,0,3,4,3,2043,1885,2531.6666666666665,False,False,False,True,13,0,0,5.833333333333333,8.333333333333334,104,0.8,0.25,22.0,7,2108
craigbarnes/lua-gumbo,https://github.com/craigbarnes/lua-gumbo,0,0,0,0,32,2,0,1,117,14,117,2783,3943,3426.6666666666665,True,True,True,True,9,0,62,50.0,1.6666666666666667,1693,0.0,0,0.0,161,2959
ixti/redmine_tags,https://github.com/ixti/redmine_tags,1,3,7,5,10,2,0,1,189,121,189,3626,4472,3678.2162162162163,True,False,False,True,86,42,143,30.324324324324323,11.945945945945946,66,0.037037037037037035,2.0,2.066666666666667,151,3626
juju/loggo,https://github.com/juju/loggo,2,5,3,6,17,3,0,0,130,35,130,2828,3020,3661.4,False,False,True,True,152,0,0,433.8666666666667,18.266666666666666,24,0.14285714285714285,1.5,5.0,44,2828
bells/elasticsearch-analysis-dynamic-synonym,https://github.com/bells/elasticsearch-analysis-dynamic-synonym,3,5,24,13,19,3,0,1,260,129,260,1849,3568,3007.875,True,False,False,True,22,29,23,22.25,25.875,30,0.4,0.25,3.75,77,1861
TYPO3/Fluid,https://github.com/TYPO3/Fluid,10,47,25,67,41,14,0,0,137,75,137,4605,4490,3477.044117647059,True,True,True,True,24,0,0,36.705882352941174,12.117647058823529,342,0.14285714285714285,0.6363636363636364,42.541666666666664,102,4605
JohnMaguire/Cardinal,https://github.com/JohnMaguire/Cardinal,1,9,8,41,240,6,7,1,87,36,87,3095,3983,2680.4615384615386,False,False,False,True,27,127,91,27.692307692307693,15.153846153846153,583,0.35714285714285715,1.0,8.5,40,3144
jupyterhub/configurable-http-proxy,https://github.com/jupyterhub/configurable-http-proxy,2,113,4,132,290,12,0,0,171,115,171,2557,2002,3088.3529411764707,True,True,False,True,62,0,0,169.76470588235293,44.85294117647059,315,0.3793103448275862,0.5454545454545454,103.49999999999999,18,2648
jsoverson/preprocess,https://github.com/jsoverson/preprocess,0,2,1,3,15,1,1,1,315,80,315,2975,3744,3526.125,True,False,False,True,146,110,424,103.625,24.625,83,0.06666666666666667,1.5,2.0,156,2975
monich/harbour-swissclock,https://github.com/monich/harbour-swissclock,0,1,0,1,11,1,1,1,1,3,1,2464,2859,2452.6666666666665,False,False,False,True,90,0,34,13.0,0.0,75,0.3333333333333333,2.0,1.0,45,2464
espadrine/sc,https://github.com/espadrine/sc,2,0,2,0,6,21,0,1,13,12,13,3795,4453,3310.125,True,True,False,True,153,36,195,113.875,39.0,293,0.18181818181818182,0.5,0.0,171,3795
pantsbuild/pants,https://github.com/pantsbuild/pants,0,4,12,12,27,46,0,0,1653,418,1653,3411,3188,3415.7512437810947,True,False,False,True,48,0,0,71.23383084577114,15.955223880597014,1576,0.42857142857142855,0.6666666666666666,3.5,0,3465
Pottus/Texture-Studio,https://github.com/Pottus/Texture-Studio,0,19,0,19,72,2,0,1,50,49,50,2430,3072,1935.111111111111,True,False,False,True,3,0,28,14.666666666666666,6.555555555555555,108,0.35714285714285715,0.2,19.0,146,2430
kittylyst/fix8on,https://github.com/kittylyst/fix8on,1,34,4,53,49,2,4,1,6,5,6,0,4510,3492.75,True,False,False,True,44,46,345,146.5,18.75,22,0.4,0.3888888888888889,29.152777777777775,95,0
cesanta/docker_auth,https://github.com/cesanta/docker_auth,0,4,0,4,4296,1,0,0,1030,260,1030,2282,2965,3388.7924528301887,True,True,True,True,59,0,0,87.18867924528301,35.0188679245283,85,0.52,1.2307692307692308,4.0,9,2314
himynameisjonas/jonas.brusman.se,https://github.com/himynameisjonas/jonas.brusman.se,1,24,6,49,117,5,1,1,3,0,3,351,4658,2208.5,False,False,False,False,65,29,48,60.5,7.25,215,0.17647058823529413,1.0,22.833333333333332,9,380
rickysarraf/apt-offline,https://github.com/rickysarraf/apt-offline,0,3,0,10,46,6,0,1,118,31,118,5649,4556,3755.0,True,False,False,True,37,10,31,45.333333333333336,10.666666666666666,1087,0.1111111111111111,2.0,2.25,47,5649
prembhaskal/sokoban,https://github.com/prembhaskal/sokoban,1,22,4,36,34,6,0,1,2,0,2,2622,3156,3088.0,True,False,False,True,21,8,2,1.3333333333333333,2.6666666666666665,132,0.8,0.25,22.0,310,2622
sckott/rfna,https://github.com/sckott/rfna,0,0,0,0,32,2,0,1,6,0,6,2421,3884,2802.0,False,False,False,True,222,97,806,473.3333333333333,82.33333333333333,32,0.0,0,0.0,358,2421
craigbarnes/lua-gumbo,https://github.com/craigbarnes/lua-gumbo,1,3,7,5,10,2,0,1,117,14,117,2783,3943,3427.0,True,True,True,True,9,0,62,50.0,1.6666666666666667,1693,0.037037037037037035,2.0,2.066666666666667,161,2959
ixti/redmine_tags,https://github.com/ixti/redmine_tags,2,5,3,6,17,2,0,1,189,121,189,3626,4472,3678.5675675675675,True,False,False,True,86,42,143,30.324324324324323,11.945945945945946,66,0.14285714285714285,1.5,5.0,151,3626
juju/loggo,https://github.com/juju/loggo,3,5,24,13,19,3,0,0,130,35,130,2828,3020,3661.5333333333333,False,False,True,True,152,0,0,433.93333333333334,18.266666666666666,24,0.4,0.25,3.75,44,2828
bells/elasticsearch-analysis-dynamic-synonym,https://github.com/bells/elasticsearch-analysis-dynamic-synonym,20,100,109,232,949,3,8,1,260,129,260,1849,3569,3008.25,True,False,False,True,22,29,23,22.25,25.875,30,0.2786885245901639,0.17647058823529413,96.97916666666666,77,1861
traccar/traccar,https://github.com/traccar/traccar,0,1,0,1,103,4,1,0,3202,1913,3202,3589,1261,2842.0,True,False,False,True,10,0,0,21.165289256198346,7.214876033057851,5179,0.125,1.0,1.0,1,4197
pveber/bistro,https://github.com/pveber/bistro,0,348,3,365,281,15,0,1,43,8,43,2766,4067,2395.1666666666665,True,True,True,True,95,38,54,25.833333333333332,11.166666666666666,807,0.20930232558139536,0.6666666666666666,338.30833333333334,59,2766
jsdelivr/bootstrapcdn,https://github.com/jsdelivr/bootstrapcdn,0,0,0,0,2,6,0,0,1115,239,1115,3363,2826,3456.2195121951218,True,False,False,True,19,0,0,476.8780487804878,24.51219512195122,1085,0.0,0,0.0,15,3390
conestack/yafowil.widget.chosen,https://github.com/conestack/yafowil.widget.chosen,0,5,3,7,21,4,0,0,2,1,2,3193,172,4138.75,False,False,False,True,52,0,0,51.0,59.5,37,0.043478260869565216,1.0,5.0,75,3193
ekmett/exceptions,https://github.com/ekmett/exceptions,0,30,0,59,152,8,24,1,41,28,41,2988,4106,4089.086956521739,True,False,False,True,288,3,3605,441.9130434782609,11.26086956521739,90,2.5,0.2,28.333333333333336,45,2988
sealink/table_creator,https://github.com/sealink/table_creator,7,91,25,134,251,5,6,0,0,0,0,1523,4414,2961.5,True,False,False,True,120,0,0,7.5,2.75,42,0.11822660098522167,0.7083333333333334,75.38386752136753,247,1523
liip/LiipImagineBundle,https://github.com/liip/LiipImagineBundle,0,5,0,5,28,3,0,0,1477,375,1477,3782,4291,3636.7329545454545,False,True,False,True,167,0,0,121.70454545454545,39.48863636363637,289,0.5,1.0,7.5,37,3845
brightbox/gobrightbox,https://github.com/brightbox/gobrightbox,1,5,5,12,16,1,0,0,5,1,5,2103,4659,3802.6666666666665,False,False,False,True,75,0,0,32.333333333333336,11.333333333333334,67,0.46153846153846156,0.5,5.0,79,2103
md-5/SpecialSource,https://github.com/md-5/SpecialSource,0,11,0,16,23,2,5,1,121,37,121,3128,3667,2811.75,False,False,False,True,150,13,1076,142.5,22.3125,116,0.5,1.0,7.862337662337662,23,3167
jmhobbs/jsTodoTxt,https://github.com/jmhobbs/jsTodoTxt,1,27,5,59,107,3,7,1,46,11,46,2799,4410,2925.1666666666665,True,False,False,True,197,49,180,52.666666666666664,15.333333333333334,49,0.3870967741935484,0.5,24.583333333333332,95,2799
mar10/wsgidav,https://github.com/mar10/wsgidav,26,439,42,485,1853,6,14,1,500,95,500,4248,4647,2969.6944444444443,True,True,False,True,61,1,122,16.47222222222222,12.36111111111111,510,0.3150684931506849,0.717391304347826,405.6531496281495,61,4248
DirtyUnicorns/android_vendor_motorola,https://github.com/DirtyUnicorns/android_vendor_motorola,1,9,2,14,31,15,0,0,1,11,1,1400,2474,2368.7454545454543,False,False,False,False,660,0,0,117.83636363636364,17.01818181818182,111,0.05,0.6666666666666666,8.5,200,1400
synrc/active,https://github.com/synrc/active,0,0,0,1,54,2,0,0,64,18,64,2429,3841,3553.5714285714284,False,False,False,True,24,0,0,95.14285714285714,126.57142857142857,91,0.0,0,0.0,222,2429
akeeba/buildfiles,https://github.com/akeeba/buildfiles,1,18,9,79,97,2,0,0,4,4,4,2736,3077,3729.8,True,True,False,True,17,0,0,53.2,3.6,269,0.25,0.7142857142857143,15.61111111111111,27,2736
mones/clawsker,https://github.com/mones/clawsker,0,10,4,15,36,4,0,1,7,4,7,4815,3963,3868.6666666666665,True,False,False,True,13,4,4,26.333333333333332,2.6666666666666665,463,0.22727272727272727,0.6,9.166666666666666,205,4815
pgundlach/lvdebug,https://github.com/pgundlach/lvdebug,0,7,0,7,31,1,0,1,9,2,9,3240,4220,3525.3333333333335,False,False,False,True,26,10,35,30.666666666666668,23.0,33,0.6666666666666666,1.5,7.0,250,3240
openacs/lars-blogger,https://github.com/openacs/lars-blogger,0,0,0,0,190,11,0,0,2,1,2,6539,3987,3957.0666666666666,True,True,False,False,320,0,0,17.8,7.6,98,0.0,0,0.0,324,6539
gtk-gnutella/htdocs,https://github.com/gtk-gnutella/htdocs,0,128,0,128,282,1,0,0,0,0,0,7067,3686,3347.1111111111113,False,False,False,False,8,0,0,22.555555555555557,8.11111111111111,311,0.3235294117647059,0.8181818181818182,125.5,48,7067
unclecheese/silverstripe-event-calendar,https://github.com/unclecheese/silverstripe-event-calendar,1,25,9,77,382,3,0,1,32,72,32,3529,3844,3527.909090909091,False,False,False,True,118,0,280,31.113636363636363,17.545454545454547,80,0.5,0.46153846153846156,25.0,315,3529
rime/ibus-rime,https://github.com/rime/ibus-rime,1,35,3,37,93,1,5,0,531,81,531,3278,2433,3713.0,False,False,False,True,39,0,0,517.5,65.5,88,0.023809523809523808,2.0,33.833333333333336,233,3278
